"Shape","Date","Value"
"cigar","Apr-13"," 7"
"cigar","Apr-14"," 9"
"cigar","Apr-15"," 5"
"cigar","Apr-16"," 10"
"cigar","Apr-17"," 7"
"cigar","Aug-13"," 14"
"cigar","Aug-14"," 15"
"cigar","Aug-15"," 8"
"cigar","Aug-16"," 12"
"cigar","Aug-17"," 2"
"cigar","Dec-13"," 11"
"cigar","Dec-14"," 8"
"cigar","Dec-15"," 12"
"cigar","Dec-16"," 3"
"cigar","Feb-13"," 3"
"cigar","Feb-14"," 11"
"cigar","Feb-15"," 6"
"cigar","Feb-16"," 8"
"cigar","Feb-17"," 5"
"cigar","Jan-13"," 7"
"cigar","Jan-14"," 10"
"cigar","Jan-15"," 12"
"cigar","Jan-16"," 6"
"cigar","Jan-17"," 6"
"cigar","Jul-13"," 10"
"cigar","Jul-14"," 13"
"cigar","Jul-15"," 9"
"cigar","Jul-16"," 15"
"cigar","Jul-17"," 10"
"cigar","Jun-13"," 10"
"cigar","Jun-14"," 12"
"cigar","Jun-15"," 9"
"cigar","Jun-16"," 9"
"cigar","Jun-17"," 6"
"cigar","Mar-13"," 6"
"cigar","Mar-14"," 8"
"cigar","Mar-15"," 11"
"cigar","Mar-16"," 8"
"cigar","Mar-17"," 6"
"cigar","May-13"," 5"
"cigar","May-14"," 5"
"cigar","May-15"," 15"
"cigar","May-16"," 10"
"cigar","May-17"," 5"
"cigar","Nov-13"," 15"
"cigar","Nov-14"," 13"
"cigar","Nov-15"," 18"
"cigar","Nov-16"," 7"
"cigar","Oct-13"," 14"
"cigar","Oct-14"," 14"
"cigar","Oct-15"," 7"
"cigar","Oct-16"," 7"
"cigar","Sep-13"," 18"
"cigar","Sep-14"," 15"
"cigar","Sep-15"," 13"
"cigar","Sep-16"," 9"
"cone","Apr-13"," 3"
"cone","Apr-14"," 1"
"cone","Apr-15"," 4"
"cone","Apr-16"," 1"
"cone","Apr-17"," 1"
"cone","Aug-13"," 3"
"cone","Aug-14"," 3"
"cone","Aug-15"," 3"
"cone","Aug-16"," 1"
"cone","Aug-17"," 3"
"cone","Dec-13"," 4"
"cone","Dec-14"," 2"
"cone","Dec-15"," 2"
"cone","Dec-16"," 2"
"cone","Feb-13"," 2"
"cone","Feb-14"," 3"
"cone","Feb-16"," 6"
"cone","Feb-17"," 2"
"cone","Jan-13"," 1"
"cone","Jan-14"," 2"
"cone","Jan-15"," 5"
"cone","Jan-16"," 2"
"cone","Jan-17"," 2"
"cone","Jul-13"," 6"
"cone","Jul-14"," 3"
"cone","Jul-15"," 2"
"cone","Jul-16"," 4"
"cone","Jul-17"," 4"
"cone","Jun-13"," 3"
"cone","Jun-14"," 2"
"cone","Jun-15"," 3"
"cone","Jun-17"," 1"
"cone","Mar-13"," 2"
"cone","Mar-14"," 2"
"cone","Mar-15"," 1"
